PublishYear,CountryName,AI Conference Papers,AI Journal Papers,AI Patents,AI Private Investment,Companies Funded,R&D (% of GDP),Research and training,Scientists and engineers,Quality of scientific research institutions,Government artificial intelligence
2015,Canada,7.84108E-09,3.35823E-09,0.012038903,0.014130407,0.010353738,0.000885741,0.86811229,0.754380401,0.437782928,0.305746062
2016,Canada,8.41644E-09,4.45903E-09,0.011961837,0.013995449,0.010353738,0.001231734,0.807471278,0.837613214,0.440611472,0.305746062
2017,Canada,7.48656E-09,4.53273E-09,0.011464152,0.015763645,0.015984848,0.000686306,0.93721591,0.918658633,0.382338354,0.305746062
2018,Canada,6.27608E-09,3.24099E-09,0.011447165,0.017281916,0.023660578,0.000239313,0.99025419,0.939805678,0.744929576,0.305746062
2019,Canada,1.32546E-08,4.89296E-09,0.011861793,0.018035277,0.01964677,6.31459E-05,0.946721392,0.927088519,0.561331968,0.982774689
2020,Canada,5.22772E-09,1.74552E-08,0.011560881,0.018996818,0.020035709,2.86022E-05,0.945442208,0.919704078,0.576484777,0.015673288
2015,European Union,0.014822651,0.00018048,0.535108794,0.014608993,0.016142905,0.05461731,0.404838762,0.039620258,0.085035189,0.177428859
2016,European Union,0.015979107,0.000195674,0.293177779,0.016551495,0.026596994,0.049913378,0.395183586,0.04259761,0.092873533,0.177428859
2017,European Union,0.001260187,0.000226642,0.224871447,0.018699057,0.057324176,0.08888988,0.415035063,0.021825255,0.096812465,0.177428859
2018,European Union,0.00075106,2.49691E-05,0.382606391,0.022126609,0.11304583,0.10368143,0.511383127,0.008994107,0.11265377,0.177428859
2019,European Union,0.002471205,0.000165026,0.50708286,0.030659636,0.141851065,0.190309559,0.345949493,0.068905332,0.063697507,0.974617868
2020,European Union,3.23923E-05,0.004910901,0.226619284,0.029143447,0.099750489,0.260571557,0.359847115,0.05037706,0.068179061,0.023248311
2015,United Kingdom,5.36338E-08,2.73659E-08,0.034941955,0.015766238,0.01392564,0.000662915,0.955628281,0.464495777,0.990143851,0.916853933
2016,United Kingdom,8.82784E-08,2.71634E-08,0.0277332,0.01498237,0.017124033,0.000761925,0.965827316,0.632468436,0.995110732,0.916853933
2017,United Kingdom,5.57113E-08,3.91919E-08,0.025587021,0.022846918,0.028195288,0.000895618,0.985210197,0.596240285,0.991334963,0.916853933
2018,United Kingdom,4.3822E-08,2.07289E-08,0.02341923,0.019459786,0.037326887,0.001159276,0.991664919,0.593894752,0.994646208,0.916853933
2019,United Kingdom,7.59463E-08,5.15739E-08,0.024904182,0.028951469,0.041091278,0.0022367,0.981094295,0.602046889,0.973573947,0.998364223
2020,United Kingdom,2.2159E-08,2.35849E-07,0.020734578,0.029865254,0.034891409,0.00229723,0.978452676,0.58861774,0.975912871,0.661950848
2019,United States,0.987061908,0.542054616,0.956782614,0.950809159,0.970330006,0.961264756,0.983661394,0.956352356,0.998377286,0.992029456
2018,United States,0.904021264,0.044014008,0.814093798,0.844125968,0.964812742,0.963821811,0.984764691,0.983124769,0.998215608,0.992029456
2020,United States,0.595259378,0.859667959,0.925163633,0.983359224,0.953414037,0.965243037,0.981126197,0.955030363,0.99827953,0.964014838
2016,United States,0.801750551,0.055050085,0.909042543,0.156942416,0.777083405,0.937665311,0.961495386,0.933726743,0.998765417,0.768524783
2017,United States,0.720838803,0.120837652,0.675207456,0.561398359,0.918245956,0.958136463,0.960185698,0.957780598,0.998687445,0.768524783
2015,United States,0.591620271,0.064519127,0.985298571,0.098051636,0.559713649,0.915339818,0.965944108,0.901607426,0.997574993,0.768524783
2018,China,0.778138293,0.542152463,0.046763948,0.686553511,0.175086268,0.104968369,0.142970651,0.229874725,0.587435509,0.022313439
2016,China,0.366896171,0.021416545,0.026596994,0.044266217,0.023892689,0.056417735,0.058350745,0.03689629,0.040621846,0.022313439
2015,China,0.041412129,0.591297592,0.027585282,0.028304193,0.01870651,0.034092192,0.05951184,0.01980204,0.024233403,0.022313439
2019,China,0.995177141,0.911885073,0.049594915,0.519074241,0.295254302,0.254263726,0.068067761,0.0535402,0.013580557,0.022313439
2017,China,0.360700993,0.121629748,0.037997379,0.147588807,0.042289772,0.072507144,0.032046203,0.225871251,0.009572404,0.022313439
2020,China,0.014773416,0.994217791,0.031860783,0.492868267,0.130108474,0.384852957,0.070477643,0.072018975,0.027376337,0.001425224
